Group no.	Hierarchy level	RDA element	Element name									Occurrence count	Hierarchical consistency code: Code 1	Code 2	Code 3	DC term							
1	6						rdae:P20433	puppeteer collective agent				5	1		1	dct:contributor							
1	7							rdae:P20492	puppeteer corporate body			15	1		1	dct:contributor							
1	7							rdae:P20551	puppeteer family			15	1		1	dct:contributor							
1	6						rdae:P20434	panelist collective agent				5	1		1	dct:contributor							
1	7							rdae:P20493	panelist corporate body			15	1		1	dct:contributor							
1	7							rdae:P20552	panelist family			15	1		1	dct:contributor							
1	6						rdae:P20435	instrumentalist collective agent				5	1		1	dct:contributor							
1	7							rdae:P20494	instrumentalist corporate body			15	1		1	dct:contributor							
1	7							rdae:P20553	instrumentalist family			15	1		1	dct:contributor							
1	6						rdae:P20436	commentator collective agent				5	1		1	dct:contributor							
1	7							rdae:P20495	commentator corporate body			15	1		1	dct:contributor							
1	7							rdae:P20554	commentator family			15	1		1	dct:contributor							
1	6						rdae:P20437	narrator collective agent				5	1		1	dct:contributor							
1	7							rdae:P20496	narrator corporate body			15	1		1	dct:contributor							
1	7							rdae:P20555	narrator family			15	1		1	dct:contributor							
1	6						rdae:P20438	storyteller collective agent				5	1		1	dct:contributor							
1	7							rdae:P20497	storyteller corporate body			15	1		1	dct:contributor							
1	7							rdae:P20556	storyteller family			15	1		1	dct:contributor							
1	6						rdae:P20439	speaker collective agent				5	1		1	dct:contributor							
1	7							rdae:P20498	speaker corporate body			15	1		1	dct:contributor							
1	7							rdae:P20557	speaker family			15	1		1	dct:contributor							
1	6						rdae:P20440	instructor collective agent				5	1		1	dct:contributor							
1	7							rdae:P20499	instructor corporate body			15	1		1	dct:contributor							
1	7							rdae:P20558	instructor family			15	1		1	dct:contributor							
1	6						rdae:P20441	singer collective agent				5	1		1	dct:contributor							
1	7							rdae:P20500	singer corporate body			15	1		1	dct:contributor							
1	7							rdae:P20559	singer family			15	1		1	dct:contributor							
1	6						rdae:P20442	conductor collective agent				5	1		1	dct:contributor							
1	7							rdae:P20395	choral conductor collective agent			6	1		1	dct:contributor							
1	8								rdae:P20454	choral conductor corporate body		21	1		1	dct:contributor							
1	8								rdae:P20513	choral conductor family		21	1		1	dct:contributor							
1	7							rdae:P20427	instrumental conductor collective agent			6	1		1	dct:contributor							
1	8								rdae:P20486	instrumental conductor corporate body		21	1		1	dct:contributor							
1	8								rdae:P20545	instrumental conductor family		21	1		1	dct:contributor							
1	7							rdae:P20501	conductor corporate body			15	1		1	dct:contributor							
1	8								rdae:P20454	choral conductor corporate body		21	1		1	dct:contributor							
1	8								rdae:P20486	instrumental conductor corporate body		21	1		1	dct:contributor							
1	7							rdae:P20560	conductor family			15	1		1	dct:contributor							
1	8								rdae:P20513	choral conductor family		21	1		1	dct:contributor							
1	8								rdae:P20545	instrumental conductor family		21	1		1	dct:contributor							
1	6						rdae:P20447	presenter collective agent				5	1		1	dct:contributor							
1	7							rdae:P20506	presenter corporate body			15	1		1	dct:contributor							
1	7							rdae:P20565	presenter family			15	1		1	dct:contributor							
1	6						rdae:P20469	performer corporate body				10	1		1	dct:contributor							
1	7							rdae:P20487	actor corporate body			15	1		1	dct:contributor							
1	8								rdae:P20502	voice actor corporate body		21	1		1	dct:contributor							
1	7							rdae:P20488	onscreen presenter corporate body			15	1		1	dct:contributor							
1	7							rdae:P20489	dancer corporate body			15	1		1	dct:contributor							
1	7							rdae:P20490	host corporate body			15	1		1	dct:contributor							
1	7							rdae:P20491	moderator corporate body			15	1		1	dct:contributor							
1	7							rdae:P20492	puppeteer corporate body			15	1		1	dct:contributor							
1	7							rdae:P20493	panelist corporate body			15	1		1	dct:contributor							
1	7							rdae:P20494	instrumentalist corporate body			15	1		1	dct:contributor							
1	7							rdae:P20495	commentator corporate body			15	1		1	dct:contributor							
1	7							rdae:P20496	narrator corporate body			15	1		1	dct:contributor							
1	7							rdae:P20497	storyteller corporate body			15	1		1	dct:contributor							
1	7							rdae:P20498	speaker corporate body			15	1		1	dct:contributor							
1	7							rdae:P20499	instructor corporate body			15	1		1	dct:contributor							
1	7							rdae:P20500	singer corporate body			15	1		1	dct:contributor							
1	7							rdae:P20501	conductor corporate body			15	1		1	dct:contributor							
1	8								rdae:P20454	choral conductor corporate body		21	1		1	dct:contributor							
1	8								rdae:P20486	instrumental conductor corporate body		21	1		1	dct:contributor							
1	7							rdae:P20506	presenter corporate body			15	1		1	dct:contributor							
1	6						rdae:P20528	performer family				10	1		1	dct:contributor							
1	7							rdae:P20546	actor family			15	1		1	dct:contributor							
1	7							rdae:P20547	onscreen presenter family			15	1		1	dct:contributor							
1	7							rdae:P20548	dancer family			15	1		1	dct:contributor							
1	7							rdae:P20549	host family			15	1		1	dct:contributor							
1	7							rdae:P20550	moderator family			15	1		1	dct:contributor							
1	7							rdae:P20551	puppeteer family			15	1		1	dct:contributor							
1	7							rdae:P20552	panelist family			15	1		1	dct:contributor							
1	7							rdae:P20553	instrumentalist family			15	1		1	dct:contributor							
1	7							rdae:P20554	commentator family			15	1		1	dct:contributor							
1	7							rdae:P20555	narrator family			15	1		1	dct:contributor							
1	7							rdae:P20556	storyteller family			15	1		1	dct:contributor							
1	7							rdae:P20557	speaker family			15	1		1	dct:contributor							
1	7							rdae:P20558	instructor family			15	1		1	dct:contributor							
1	7							rdae:P20559	singer family			15	1		1	dct:contributor							
1	7							rdae:P20560	conductor family			15	1		1	dct:contributor							
1	8								rdae:P20513	choral conductor family		21	1		1	dct:contributor							
1	8								rdae:P20545	instrumental conductor family		21	1		1	dct:contributor							
1	7							rdae:P20565	presenter family			15	1		1	dct:contributor							
1	4				rdae:P20047	interviewee agent of expression						1	1		1	dct:contributor							
1	5					rdae:P20354	interviewee person of expression					4	1		1	dct:contributor							
1	5					rdae:P20413	interviewee collective agent of expression					4	1		1	dct:contributor							
1	6						rdae:P20472	interviewee corporate body of expression				10	1		1	dct:contributor							
1	6						rdae:P20531	interviewee family of expression				10	1		1	dct:contributor							
1	4				rdae:P20052	recordist agent						1	1		1	dct:contributor							
1	5					rdae:P20358	recordist person					4	1		1	dct:contributor							
1	5					rdae:P20417	recordist collective agent					4	1		1	dct:contributor							
1	6						rdae:P20476	recordist corporate body				10	1		1	dct:contributor							
1	6						rdae:P20535	recordist family				10	1		1	dct:contributor							
1	4				rdae:P20055	editor agent of moving image work						1	1		1	dct:contributor							
1	5					rdae:P20390	editor person of moving image work					3	1		1	dct:contributor							
1	5					rdae:P20449	editor collective agent of moving image work					4	1		1	dct:contributor							
1	6						rdae:P20508	editor corporate body of moving image work				10	1		1	dct:contributor							
1	6						rdae:P20567	editor family of moving image work				10	1		1	dct:contributor							
1	4				rdae:P20056	production designer agent						1	1		1	dct:contributor							
1	5					rdae:P20391	production designer person					4	1		1	dct:contributor							
1	5					rdae:P20450	production designer collective agent					4	1		1	dct:contributor							
1	6						rdae:P20509	production designer corporate body				10	1		1	dct:contributor							
1	6						rdae:P20568	production designer family				10	1		1	dct:contributor							
1	4				rdae:P20257	visual effects provider agent						1	1		1	dct:contributor							
1	5					rdae:P20361	visual effects provider person					4	1		1	dct:contributor							
1	5					rdae:P20420	visual effects provider collective agent					4	1		1	dct:contributor							
1	6						rdae:P20479	visual effects provider corporate body				10	1		1	dct:contributor							
1	6						rdae:P20538	visual effects provider family				10	1		1	dct:contributor							
1	4				rdae:P20258	special effects provider agent						1	1		1	dct:contributor							
1	5					rdae:P20360	special effects provider person					4	1		1	dct:contributor							
1	5					rdae:P20419	special effects provider collective agent					4	1		1	dct:contributor							
1	6						rdae:P20478	special effects provider corporate body				10	1		1	dct:contributor							
1	6						rdae:P20537	special effects provider family				10	1		1	dct:contributor							
1	4				rdae:P20276	sound designer agent						1	1		1	dct:contributor							
1	5					rdae:P20343	sound designer person					4	1		1	dct:contributor							
1	5					rdae:P20402	sound designer collective agent					4	1		1	dct:contributor							
1	6						rdae:P20461	sound designer corporate body				10	1		1	dct:contributor							
1	6						rdae:P20520	sound designer family				10	1		1	dct:contributor							
1	4				rdae:P20277	lighting designer agent						1	1		1	dct:contributor							
1	5					rdae:P20344	lighting designer person					4	1		1	dct:contributor							
1	5					rdae:P20403	lighting designer collective agent					4	1		1	dct:contributor							
1	6						rdae:P20462	lighting designer corporate body				10	1		1	dct:contributor							
1	6						rdae:P20521	lighting designer family				10	1		1	dct:contributor							
1	4				rdae:P20279	onscreen participant agent						1	1		1	dct:contributor							
1	5					rdae:P20363	onscreen participant person					4	1		1	dct:contributor							
1	5					rdae:P20422	onscreen participant collective agent					4	1		1	dct:contributor							
1	6						rdae:P20481	onscreen participant corporate body				10	1		1	dct:contributor							
1	6						rdae:P20540	onscreen participant family				10	1		1	dct:contributor							
1	4				rdae:P20284	makeup artist agent						1	1		1	dct:contributor							
1	5					rdae:P20341	makeup artist person					4	1		1	dct:contributor							
1	5					rdae:P20400	makeup artist collective agent					4	1		1	dct:contributor							
1	6						rdae:P20459	makeup artist corporate body				10	1		1	dct:contributor							
1	6						rdae:P20518	makeup artist family				10	1		1	dct:contributor							
1	4				rdae:P20292	audio engineer agent						1	1		1	dct:contributor							
1	5					rdae:P20050	recording engineer agent					1	1		1	dct:contributor							
1	6						rdae:P20386	recording engineer person				5	1		1	dct:contributor							
1	6						rdae:P20445	recording engineer collective agent				5	1		1	dct:contributor							
